u,g,i,r,z,CLASS
21.8018,19.5803,18.3485,17.8235,17.3507,GALAXY
18.3859,17.4223,17.0894,16.9578,16.92,STAR
20.6708,19.931,19.5082,19.1597,18.9971,QSO
21.3293,20.0732,19.5805,19.2514,19.1346,GALAXY
21.9591,20.004,18.7645,18.3032,17.9719,GALAXY
22.1551,19.9627,18.6962,18.2083,17.8704,GALAXY
21.3516,19.8684,18.9706,18.5146,18.1806,GALAXY
20.067,19.1091,18.7814,18.4625,18.3944,GALAXY
20.5011,19.2966,18.7367,18.3443,18.1152,GALAXY
20.5552,19.1024,18.3137,17.9144,17.6411,GALAXY
24.9805,21.5809,20.6954,20.347,20.2012,STAR
21.6701,19.2813,18.0475,16.9665,17.1997,STAR
20.9834,19.0493,18.0165,17.4885,17.0557,GALAXY
20.363,18.4948,17.5922,17.1833,16.8925,GALAXY
24.2949,21.676,19.8263,19.1971,18.7514,GALAXY
20.34,18.7808,18.0472,17.7163,17.5555,STAR
21.215,19.2747,18.2488,17.6833,17.2674,GALAXY
21.6519,20.0192,18.9676,18.4543,18.1469,GALAXY
20.6343,19.4001,18.6935,18.2812,18.0079,GALAXY
25.6623,21.4707,20.6525,20.3415,19.9818,STAR
22.0222,19.6103,18.1042,17.1383,16.6196,STAR_LATE
21.8666,19.6559,19.3349,19.2701,19.249,HIZ_QSO
21.3472,19.9652,19.3547,18.973,18.7117,GALAXY
22.2135,20.0023,18.7988,18.3231,17.9781,GALAXY
25.8224,21.7273,19.8377,19.215,18.7627,GALAXY
21.3705,19.7697,19.0067,18.4989,18.2447,GALAXY
23.8844,21.9289,20.8522,20.3745,20.5994,STAR
25.0758,21.6092,20.7042,20.4242,20.4513,STAR
21.8339,19.3528,17.9237,16.6719,16.007,STAR_LATE
22.7625,21.1761,19.6297,19.0019,18.6066,GALAXY
21.906,19.3608,17.9027,16.5449,15.772,STAR_LATE
21.2102,19.2018,18.1897,17.7299,17.3569,GALAXY
19.0044,18.5826,18.6035,18.7091,18.813,STAR
24.531,21.4894,20.5034,20.1574,20.0504,STAR
26.0892,23.9607,22.2732,19.8649,18.5963,STAR_LATE
20.9893,19.7504,18.9325,18.5158,18.1963,GALAXY
20.0641,18.1489,17.2739,16.859,16.514,GALAXY
20.7475,19.0849,18.3039,17.903,17.606,GALAXY
21.7668,19.8008,18.6959,18.2163,17.8843,GALAXY
25.256,21.4751,20.5812,20.278,20.1076,STAR
21.5397,20.4726,19.8398,19.4342,19.1292,GALAXY
19.1481,17.9068,17.2539,16.807,16.495,GALAXY
20.995,18.9718,18.0029,17.5174,17.1674,GALAXY
22.1217,20.3087,19.3098,18.7813,18.4151,GALAXY
20.0921,19.9178,19.7078,19.4469,19.5534,QSO
20.2377,18.5297,17.8538,17.4113,17.1264,GALAXY
20.5945,19.5804,19.1716,18.9126,18.7413,GALAXY
21.7985,19.5938,18.4169,17.8124,17.2934,GALAXY
20.9983,18.8416,17.7097,17.1847,16.7689,GALAXY
22.106,19.9958,18.9379,18.4653,18.0643,GALAXY
20.5318,19.4418,19.0048,18.7363,18.523,GALAXY
21.0815,19.6717,19.0218,18.6123,18.3531,GALAXY
20.3011,19.1466,18.4611,18.0207,17.783,GALAXY
21.5807,19.6776,18.6117,18.1767,17.8208,GALAXY
19.9528,18.8597,18.3948,18.0273,17.9053,GALAXY
20.408,19.8354,19.3962,19.0383,18.9129,QSO
21.34,20.1853,19.5032,19.1563,18.9069,GALAXY
19.24,18.9183,19.0422,18.8583,18.766,QSO
20.9563,19.4995,18.7778,18.3961,18.1131,GALAXY
