u,g,r,i,z,CLASS
20.9699,19.3052,19.0488,18.9134,18.8583,STAR
20.9539,19.3352,18.5218,18.0635,17.7829,GALAXY
23.7752,21.6737,19.968,19.3467,18.884,GALAXY
19.7749,19.8441,19.8587,19.3713,19.3661,QSO
21.589,20.1031,18.9928,18.5104,18.1408,GALAXY
19.4711,18.6265,18.3411,18.0687,17.9966,GALAXY
19.7009,18.8692,18.6538,18.5364,18.4247,GALAXY
22.7358,21.2378,19.7757,19.1981,18.8319,GALAXY
22.6905,20.9107,19.4008,18.7714,18.3917,GALAXY
19.2021,18.4062,18.2039,17.9295,17.7749,GALAXY
20.6962,19.1592,18.3328,17.8944,17.5849,GALAXY
20.0289,18.4816,17.6808,17.2252,16.8885,GALAXY
20.4856,18.5146,17.5398,17.1082,16.7746,GALAXY
22.3685,20.0965,18.8511,18.3717,18.0176,GALAXY
24.1626,21.7849,19.9757,19.2964,18.8613,GALAXY
25.4715,21.949,20.0327,17.8645,16.737,STAR_LATE
19.417,17.4702,16.5769,16.1415,15.788,GALAXY
20.4954,19.8871,19.0918,18.5834,18.3527,QSO
19.7119,19.5242,19.4748,19.3024,19.1019,QSO
20.7865,19.5998,19.0619,18.7888,18.5888,GALAXY
19.8042,19.7469,19.5329,19.4864,19.4522,QSO
22.1725,20.2266,18.9149,18.3468,17.9271,GALAXY
20.3051,18.72,17.863,17.3665,17.0184,GALAXY
25.3386,21.6687,19.9506,18.6331,17.8684,STAR_LATE
19.2983,18.369,17.929,17.7335,17.6633,STAR
21.0938,19.3569,18.435,18.0025,17.6713,GALAXY
22.2343,20.0069,18.8,18.2505,17.8723,GALAXY
20.6048,19.3288,18.7099,18.4008,18.1951,GALAXY
21.3328,19.8889,19.2809,18.8845,18.601,GALAXY
19.5331,19.5177,19.4708,19.3347,19.167,QSO
19.57,17.7277,16.9096,16.5136,16.1926,GALAXY
23.2391,22.3531,21.0139,19.9135,19.4631,STAR_LATE
22.375,20.4255,19.0685,18.5346,18.1604,GALAXY
19.4172,18.8228,18.6589,18.3498,17.8032,STAR
19.5322,19.4329,19.2379,19.2444,19.3038,QSO
20.0652,19.1508,18.6549,18.2868,18.1501,GALAXY
23.291,21.166,20.0737,19.9805,19.9785,HIZ_QSO
21.9753,20.2277,18.9359,18.3558,17.9601,GALAXY
21.325,19.7836,19.0491,18.6397,18.2975,GALAXY
21.9772,20.2412,19.0749,18.4765,18.0239,GALAXY
21.3158,19.2332,18.0939,17.6155,17.251,GALAXY
21.5925,19.6546,18.5001,18.0718,17.7777,GALAXY
21.1816,19.2846,18.3121,17.8798,17.5807,GALAXY
19.3263,17.5487,16.8248,16.5042,16.2606,GALAXY
21.8636,19.7412,18.4889,18.0575,17.7579,GALAXY
21.6023,20.7333,20.2519,19.9924,19.749,GALAXY
20.1111,18.8856,18.2951,17.9447,17.7057,GALAXY
22.4575,20.68,19.2999,18.7014,18.2418,GALAXY
22.05,20.0012,18.6249,18.1125,17.7489,GALAXY
21.757,19.7463,18.5969,18.1175,17.7599,GALAXY
19.6232,18.4253,18.0479,17.8135,17.641,GALAXY
21.3159,19.3333,18.2789,17.8285,17.454,GALAXY
19.5963,18.5366,18.0401,17.7718,17.5907,GALAXY
21.9092,19.8947,18.5348,18.0552,17.7475,GALAXY
18.9413,18.7023,18.2899,17.8495,17.658,QSO
21.3519,19.3107,18.3079,17.8842,17.5225,GALAXY
22.7193,20.5958,19.149,18.4935,18.0533,GALAXY
20.0532,18.4337,17.7898,17.5482,17.4345,STAR
23.1784,21.0411,19.3848,18.8371,18.4872,GALAXY
19.8521,19.6286,19.0618,18.6442,18.696,QSO
18.1113,17.2327,16.9948,16.9022,16.9026,STAR
22.9147,22.3411,20.4445,19.65,19.2242,GALAXY
20.4607,19.3496,18.8368,18.4912,18.3123,GALAXY
20.6718,19.355,18.826,18.5035,18.2662,GALAXY
21.4933,19.661,18.602,18.0805,17.7144,GALAXY
24.2398,22.1651,20.7983,20.1054,19.482,STAR
20.9484,18.8999,17.922,17.4748,17.1253,GALAXY
19.6526,19.4649,19.3169,19.4657,19.3365,QSO
23.2787,20.9035,19.7259,19.0098,18.7367,STAR_LATE
21.2765,19.2521,18.0611,17.5666,17.2194,GALAXY
20.9025,19.16,18.303,17.8715,17.5714,GALAXY
21.5876,19.966,18.9,18.3995,18.0593,GALAXY
19.9545,18.8489,18.437,18.1198,17.9452,GALAXY
20.7378,19.208,18.486,18.0505,17.7434,GALAXY
21.4177,19.576,18.373,17.9005,17.5204,GALAXY
18.7255,18.3526,18.2911,18.4327,18.3515,QSO
21.3529,19.2763,18.0749,17.5675,17.172,GALAXY
21.5597,20.2192,19.2899,18.8205,18.4747,GALAXY
19.8084,19.1796,19.0981,18.9857,18.929,GALAXY
20.2203,18.4907,17.5841,17.1078,16.7428,GALAXY
21.8759,20.6324,19.6681,19.2337,18.895,GALAXY
20.504,18.5367,17.8271,17.7608,17.7107,HIZ_QSO
21.7818,19.8343,18.6369,18.1575,17.754,GALAXY
21.1976,19.3886,18.1391,17.6548,17.3317,GALAXY
18.8905,17.3857,16.5841,16.1718,15.8388,GALAXY
17.3274,17.5023,17.9919,18.2335,18.4267,STAR
20.0941,18.9663,18.5669,18.2755,18.0749,GALAXY
21.2493,19.7773,18.7889,18.2795,17.9209,GALAXY
23.542,20.5591,19.0879,18.4895,18.1329,GALAXY
17.1455,16.2483,16.0249,15.9185,15.905,STAR
20.324,19.3013,18.8779,18.5285,18.3608,GALAXY
22.2226,20.0792,18.8599,18.3465,17.9699,GALAXY
22.4528,20.0513,18.8839,18.3955,18.0049,GALAXY
21.529,19.7466,18.5341,18.0678,17.7487,GALAXY
24.1884,22.265,20.4845,19.788,19.3588,GALAXY
23.8208,21.167,19.8557,19.2451,18.8439,GALAXY
19.4405,19.3418,19.4438,19.2311,19.2701,QSO
20.7589,19.4501,18.8041,18.3965,18.1103,GALAXY
22.209,20.3076,18.9338,18.4142,18.0674,GALAXY
20.1233,18.6778,17.9619,17.5362,17.2536,GALAXY
20.0434,18.8858,18.3899,18.1162,17.9095,GALAXY
21.2335,19.3898,18.4439,18.0382,17.7355,GALAXY
20.4323,19.8401,19.296,18.9875,18.8577,STAR
20.7719,19.2359,18.533,18.1958,17.9112,GALAXY
24.3057,21.4046,20.6653,20.4364,20.2953,STAR
20.5752,18.585,17.642,17.2198,16.9043,GALAXY
22.0977,20.0751,18.7091,18.1906,17.8394,GALAXY
21.1799,19.8961,19.2131,18.8105,18.577,GALAXY
17.3677,17.3031,17.1301,17.0366,17.0924,QSO
20.7699,19.6699,19.117,18.7908,18.6208,GALAXY
18.7389,18.437,18.184,18.2068,18.2031,QSO
20.5413,19.079,18.35,17.9578,17.7392,GALAXY
20.7161,19.231,19.221,19.1388,18.9205,HIZ_QSO
20.5122,19.4017,18.7232,18.3448,18.1416,GALAXY
22.9954,21.0691,19.4651,18.9067,18.5634,GALAXY
22.4018,20.6614,19.7181,19.2147,18.924,GALAXY
21.4169,19.8657,18.9242,18.4838,18.2046,GALAXY
17.9527,16.8187,16.4082,16.2558,16.2338,STAR
18.8566,16.9144,16.029,15.6015,15.2581,GALAXY
20.5014,19.6578,18.9462,18.5178,18.2746,GALAXY
21.7712,20.1206,19.0201,18.5638,18.2226,GALAXY
19.7705,18.7317,18.1411,17.6908,17.5727,GALAXY
